heure;puissance_w
00:00;2669.40
00:15;2797.10
00:30;2787.86
00:45;2799.86
01:00;1388.27
01:15;982.16
01:30;332.38
01:45;1645.44
02:00;356.21
02:15;391.01
02:30;365.62
02:45;394.20
03:00;362.39
03:15;334.27
03:30;305.40
03:45;347.42
04:00;387.92
04:15;403.53
04:30;2216.92
04:45;1803.84
05:00;534.24
05:15;416.19
05:30;453.58
05:45;563.30
06:00;421.90
06:15;389.29
06:30;382.28
06:45;343.75
07:00;509.69
07:15;755.51
07:30;1183.19
07:45;530.48
08:00;450.31
08:15;408.24
08:30;355.06
08:45;452.82
09:00;389.62
09:15;343.77
09:30;288.80
09:45;379.91
10:00;364.90
10:15;366.40
10:30;368.42
10:45;363.53
11:00;328.63
11:15;298.14
11:30;357.39
11:45;361.44
12:00;383.94
12:15;355.89
12:30;371.17
12:45;297.13
13:00;310.34
13:15;306.34
13:30;366.43
13:45;379.76
14:00;355.52
14:15;374.32
14:30;294.80
14:45;344.65
15:00;334.89
15:15;391.14
15:30;356.47
15:45;369.98
16:00;361.09
16:15;303.70
16:30;352.26
16:45;471.32
17:00;579.48
17:15;630.30
17:30;651.40
17:45;747.17
18:00;811.33
18:15;814.12
18:30;960.02
18:45;1028.38
19:00;1161.01
19:15;1334.33
19:30;818.03
19:45;835.82
20:00;913.57
20:15;1419.10
20:30;898.54
20:45;812.99
21:00;682.91
21:15;671.09
21:30;674.46
21:45;642.89
22:00;547.20
22:15;529.58
22:30;578.30
22:45;588.98
23:00;648.20
23:15;464.44
23:30;2724.85
23:45;2691.30
